Vardas         Pavarde               ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      Egz.
Vardas422      Pavarde422              5         8         1         9         7        10         2        10         6         3
Vardas423      Pavarde423              1         9         9         2         7         3         4         2         4         9
Vardas424      Pavarde424              9         1         9         3         3         4         7         9         4         9
Vardas425      Pavarde425              9         8         7         4         6        10         4        10         8         3
Vardas426      Pavarde426              9         5         4        10         1         1         4         8         4         6
Vardas427      Pavarde427              1         9         3        10         5         2        10         6         6         9
Vardas428      Pavarde428              8         5         7         4         4         1         2         4         3         6
Vardas429      Pavarde429              1         8        10         6         8         3         7         4         2         2
Vardas430      Pavarde430              6         7         5        10         3         6         5         2         3         9
Vardas431      Pavarde431              2         5         5         8        10         3        10         1         7         6
Vardas432      Pavarde432              6         1         5         5         8         9         8        10         2         3
Vardas433      Pavarde433              9         3         1         2         9         1        10         8         4         2
Vardas434      Pavarde434              4         1        10        10         2         8         9         7         7         2
Vardas435      Pavarde435              7         4         9         1        10         4         3         2         5         8
Vardas436      Pavarde436              7         7         5         7         6         7         4         9         6         8
Vardas437      Pavarde437             10         3         8         7         2         8         7         8         8         8
Vardas438      Pavarde438              7         4         6         9         9         1         8         2         4         1
Vardas439      Pavarde439              6         1         4         9         7         8         5         1        10         5
Vardas440      Pavarde440              1         7         5         7         6         9         1         8         2         9
Vardas441      Pavarde441              8         4         8         8         4         1         5         9        10         3
Vardas442      Pavarde442              5         9         1         8         6         1         8         2         6         2
Vardas443      Pavarde443              2         8         3         3         5         8         2        10        10         3
Vardas444      Pavarde444              6         5         2         8         3         9         9         8         4        10
Vardas445      Pavarde445              4         6         9         6         6         9         9         7         8         6
Vardas446      Pavarde446              7         1         7         8         6         9         5         6         7         9
Vardas447      Pavarde447              8         9         6         3         4         9         4         1         4         3
Vardas448      Pavarde448              5         8        10         3         6         7        10         6         9        10
Vardas449      Pavarde449              1         6         4         4        10         7         3         2         4        10
Vardas450      Pavarde450              6         2         5         5         4         9         1         5         8         2
Vardas451      Pavarde451              6        10         3         4         1         7         4         3         5         9
Vardas452      Pavarde452              4         5         7        10         3         8         2         2         2         6
Vardas453      Pavarde453              9         8        10         9         6        10         2         5         4         1
Vardas454      Pavarde454              5         9        10        10         7         9         1         8         8         1
Vardas455      Pavarde455              5         3         7        10         1         8         7         6         4         1
Vardas456      Pavarde456              5         4         1        10         2         3         6         7         4         5
Vardas457      Pavarde457              4         6         5         2         8         8        10         4        10         6
Vardas458      Pavarde458              8         5         8         8         1         2         8        10         2         4
Vardas459      Pavarde459              6         7         6         3         3         5         9         2         5         7
Vardas460      Pavarde460              7        10         2         9         6         4         4         6         8         3
Vardas461      Pavarde461              6         8         1         5         5         6         2         2         8         3
Vardas462      Pavarde462              3         2        10        10         7         8         6         5         5         3
Vardas463      Pavarde463              8        10         9         4         9        10         9         6        10         9
Vardas464      Pavarde464              2         6         1         1        10         2         5         4         2         3
Vardas465      Pavarde465             10         3         8         6         4         3        10         1         1         9
Vardas466      Pavarde466              1         8         4         1         4         2         1         7         2         3
Vardas467      Pavarde467             10        10         8         9         4         9         2         4         5         5
Vardas468      Pavarde468              8         5         8         7         6         5         3        10         1         6
Vardas469      Pavarde469              7         5         5         8         3         6         5         3         7         6
Vardas470      Pavarde470              3         1         7         2         7         4         1         3         9         2
Vardas471      Pavarde471              6         8         2         1         3         2         1         9         6         1
Vardas472      Pavarde472              6         8         1         6         6         6        10         3         6         5
Vardas473      Pavarde473              5         5         3         8         6         4         3         7         9         4
Vardas474      Pavarde474              1         2         8         9        10         5         8         4         3         1
Vardas475      Pavarde475              9         1        10         8         1         1         6         2         3         3
Vardas476      Pavarde476              3         8        10         4         5        10         5         7         8         1
Vardas477      Pavarde477              4         9         7         1         1         7         9        10         6         7
Vardas478      Pavarde478              6         6         4         9         6         3         8         8         6         6
Vardas479      Pavarde479              6         8         5         5         2         7         1         3         5         1
Vardas480      Pavarde480             10         6         2        10         1         7         8         1         3         4
Vardas481      Pavarde481              2         9         3         5         7         7         9        10        10         7
Vardas482      Pavarde482              6         8         5         7         1         6         1        10         3         7
Vardas483      Pavarde483             10         8         6         3         8         5         6         2         5         4
Vardas484      Pavarde484              2         1         8         9         8         3         6         9        10         4
Vardas485      Pavarde485              2         9        10         7         8         1         6         5         2         8
Vardas486      Pavarde486              8         1         7         2         4         1         3         4         7         6
Vardas487      Pavarde487              3         6         5         6         6         1         1         9         5         7
Vardas488      Pavarde488              9         7         8         6         6         6         2         7         4         2
Vardas489      Pavarde489              7         2         9         4         6         2         5         4         1        10
Vardas490      Pavarde490              5         2         9         8         1         2         8         6         3         6
Vardas491      Pavarde491              5         5         1         9         5         8         1         8         4         9
Vardas492      Pavarde492              6         4         1         4         8         8         2         4         5         3
Vardas493      Pavarde493              8         5        10         9         5         8         1         7         6         2
Vardas494      Pavarde494             10         7         8         1         9         9         3        10         9         9
Vardas495      Pavarde495              9         2         6        10         7         2         5         5         6         2
Vardas496      Pavarde496             10         8        10        10         1         5         2         1         1         3
Vardas497      Pavarde497              6         6         3         4         5         4         6         5         2         5
Vardas498      Pavarde498              5        10         9         2         3         8         8         8         7         6
Vardas499      Pavarde499              3         7         1         8         4         5         2         7         6         5
Vardas500      Pavarde500              6         5        10         5         6         1        10         7         7         4
Vardas501      Pavarde501              3         5         5         6         1         5         4         4         8         9
Vardas502      Pavarde502              5         2         8         8         4         9         3         6        10         6
Vardas503      Pavarde503              5         8         1         8         3         9         7         2         4         7
Vardas504      Pavarde504              9         8         9         3         5         1         8         9         7         2
Vardas505      Pavarde505              9         9         5         4         3         8         5         8         8         2
Vardas506      Pavarde506              3         4         5         5         6         8         1         4         7         5
Vardas507      Pavarde507              6         1        10         5         7         1         7         3         2         4
Vardas508      Pavarde508              8         1         8         4         6         9         2         5        10        10
Vardas509      Pavarde509              2         7         2         3         6         1         9         1         4         1
Vardas510      Pavarde510              9         8         9         9         9         3         7         4         6         2
Vardas511      Pavarde511              7         3         8         7         6         7         4        10         8        10
Vardas512      Pavarde512              8         8         4         7         4         5         5         9         4         4
Vardas513      Pavarde513              1         5         5        10         5         7         4         3        10         7
Vardas514      Pavarde514              9         2         9         5         4         8         1         2         8         7
Vardas515      Pavarde515              8         5         9         9         8         3        10         6         9         1
Vardas516      Pavarde516              4         9         2         3         3         5         9         5         7         6
Vardas517      Pavarde517              4         6         1         5         5         8         8         8         5         1
Vardas518      Pavarde518              1        10         2         9         3         3         8         4        10        10
Vardas519      Pavarde519             10        10         3         3         8         4         3         8         7         7
Vardas520      Pavarde520             10        10         2         5        10         1         2        10         3         3
Vardas521      Pavarde521              5         9         4         2         7         5         6         9         5         3
Vardas522      Pavarde522              1         5         8         5         2         8         2         7         6         1
Vardas523      Pavarde523              7         8         5         1         7         8         2        10         2         3
Vardas524      Pavarde524             10         8         2         2         7         3         8         1         3         9
Vardas525      Pavarde525              4         1         9        10         3         1         8         2         8         8
Vardas526      Pavarde526              2         2         9         6         4         7         7         1         2         3
Vardas527      Pavarde527              7         5         9         4         6         4         2         9         6         4
Vardas528      Pavarde528             10         9         4         9        10         7        10         7        10         6
Vardas529      Pavarde529              9         8         2         3         2         7         4         7         2         6
Vardas530      Pavarde530              2         2         6         8         2         8         8         3         4        10
Vardas531      Pavarde531              1        10         3         5         3         6         3         3         5         5
Vardas532      Pavarde532              1         2         2         3         7         5        10         4         8         8
Vardas533      Pavarde533              9         4         1         6         7        10         2         7         1         8
Vardas534      Pavarde534              7        10         2         2         2         2         5         7         4        10
Vardas535      Pavarde535              3         9         3         3        10         2        10         2        10         8
Vardas536      Pavarde536              1         7        10         8        10         1         9         9         3         6
Vardas537      Pavarde537              8         4         5         3         7         2         5         8         2         6
Vardas538      Pavarde538              4         4         8         9        10         2         2         7        10         1
Vardas539      Pavarde539              4         1         4         7        10         3         6         4         8         7
Vardas540      Pavarde540              8         4         7         2         8         1         3         5         1         6
Vardas541      Pavarde541              9         6        10         3         7         4         6         2         5         1
Vardas542      Pavarde542              1         9         4         6         3         6         7        10         4         3
Vardas543      Pavarde543              7         5         8         9         8        10         4         4         1         2
Vardas544      Pavarde544              6         7         9         3         3         6         9         9         2         4
Vardas545      Pavarde545              2         6         6         4         7         1         6         6         6         2
Vardas546      Pavarde546              2         6         9         2         1         7         1         4         6         2
Vardas547      Pavarde547              2         9         4        10         2         9         3         7         5         6
Vardas548      Pavarde548              5         3         2         2         1         7         6        10        10         3
Vardas549      Pavarde549              7         5         1         1         9         3         6         7         4         8
Vardas550      Pavarde550              8         2         4         7         1         5         2         5         9         1
Vardas551      Pavarde551              8         6         5         4         9         4        10        10         8         2
Vardas552      Pavarde552              9         1         5         9         4         8         4         2         1         3
Vardas553      Pavarde553              3         4         3         2         2         8         2        10         8         5
Vardas554      Pavarde554              4         3         9         7        10        10         7        10         8         8
Vardas555      Pavarde555              6         8         4         2         5         8         4         2         3         5
Vardas556      Pavarde556              1        10        10        10         7        10         2        10         2         5
Vardas557      Pavarde557              2         6         6         1         2         7        10         5         1         1
Vardas558      Pavarde558              5         2         5         5         4         1         7         6         3        10
Vardas559      Pavarde559              6         1         4         3         5         6        10         7         1         4
Vardas560      Pavarde560              5         2         5         4         8         3         5         5         2         9
Vardas561      Pavarde561              7         9         6         7         7         1         5         6         1         3
Vardas562      Pavarde562              1         6         4         3         1         8         3         7         6        10
Vardas563      Pavarde563              4         4         2        10         8         7         1         2         4         1
Vardas564      Pavarde564              5         9        10         3        10         5         3         7         5         2
Vardas565      Pavarde565              6         6         3         7         6         8         6         9         8        10
Vardas566      Pavarde566              7         6         5         4         5         1         9         9        10         5
Vardas567      Pavarde567              9         4         6         8         3         9         1        10         3         8
Vardas568      Pavarde568              3         3         8         5         3         4         1        10        10         3
Vardas569      Pavarde569              6         7         9        10         3         9         9         5         7         2
Vardas570      Pavarde570              1         2         6         7         6         6         3         4         8         3
Vardas571      Pavarde571              2         4         7         2         5         8         6         6        10         7
Vardas572      Pavarde572              4         6        10         4         3         7         8         6         2         9
Vardas573      Pavarde573              9         4         6         5         2        10         3         7         3         3
Vardas574      Pavarde574              4         7         3         9         6         1         6         9         2         7
Vardas575      Pavarde575              5        10         6         1         4         5         6         8         5         3
Vardas576      Pavarde576              2         5         7        10         2         9         9         5         4         4
Vardas577      Pavarde577              6         7        10         1         6        10         1         9         8         5
Vardas578      Pavarde578              5         1         2        10         8        10         8         1        10         1
Vardas579      Pavarde579              2         7         1         2        10         2         7         4         1         6
Vardas580      Pavarde580              7         1         5        10         6         7         8        10         6         4
Vardas581      Pavarde581              7         6         1         6         1         1         1         8         1         5
Vardas582      Pavarde582              2         8         2         8         9         6         8         2         8         3
Vardas583      Pavarde583              2         9         4         3         7        10        10         7         8        10
Vardas584      Pavarde584             10         7         5         7         2        10         2         3         5         8
Vardas585      Pavarde585              8         2         6         7         4         4         3         6         2         9
Vardas586      Pavarde586              5         5         9         9         4         5         2         3         9         3
Vardas587      Pavarde587              4         7         1         6         3         6         9         2         1         8
Vardas588      Pavarde588              7         4        10         8         1         9         9         9         7         2
Vardas589      Pavarde589              9         6        10         6         2        10         2         1         9         6
Vardas590      Pavarde590              8         7         1         2         2         5         4         7         6         5
Vardas591      Pavarde591              5         9         6         9        10        10         3         8         3         2
Vardas592      Pavarde592              1         8         7         2         4         8         8         8         1        10
Vardas593      Pavarde593              7         7         9         3         2         1         4         1        10         6
Vardas594      Pavarde594              7         4         2         6         3         8        10         2         3         5
Vardas595      Pavarde595             10         2         2         4         2         8         5         4         8         7
Vardas596      Pavarde596              8         6        10        10        10         7         5         8         7         4
Vardas597      Pavarde597              1         1         1        10         4         2         8         7        10         5
Vardas598      Pavarde598              9         3        10         1         5         7         5         5         9         3
Vardas599      Pavarde599             10         5         8         3         7         1         8         5         1         2
Vardas600      Pavarde600              6         2         7         6         2         4         9         4         8         4
Vardas601      Pavarde601              5         6         7         8         3        10         3        10         2         7
Vardas602      Pavarde602             10         8         2         5         6         9         9         7         7        10
Vardas603      Pavarde603              3         5         3         8         5         6         9         1         9         6
Vardas604      Pavarde604              2         8        10         9         6         7         8        10         2         1
Vardas605      Pavarde605              9         8         1         7         3         2         8         7         8         4
Vardas606      Pavarde606              7         1         2         2         4        10        10         8         7         9
Vardas607      Pavarde607              5         6         5         5         4         7        10         7         8         3
Vardas608      Pavarde608              9         2         9         6        10         5         7         6         8         1
Vardas609      Pavarde609              9         3        10         8         4        10         4         4         6         6
Vardas610      Pavarde610              7         2         5         9        10         7         1         5         9         9
Vardas611      Pavarde611             10         1        10         9         2         6        10         4         9         6
Vardas612      Pavarde612              3         3         2         8         1         5         6         5         1         2
Vardas613      Pavarde613              8         3         7         8         8         7         5         1         8         3
Vardas614      Pavarde614              9         9         7         9         1         9         6         2         4         4
Vardas615      Pavarde615              5         3         2         9         7         8         4         5         4         8
Vardas616      Pavarde616              7        10         7         2         5         1         1         9         1         6
Vardas617      Pavarde617              7         8         9         7         5         2         5        10         6         4
Vardas618      Pavarde618              7         1         2         2         4         1         3         9         3         6
Vardas619      Pavarde619              2         7         7         6         8        10         9         6         7         5
Vardas620      Pavarde620              5         5         5         4         7         6         5         6         9         5
Vardas621      Pavarde621              6         9         6         4         7         2         9         9         4         4
Vardas622      Pavarde622              7         6        10         7         9         6         1         3         7         8
Vardas623      Pavarde623              4         8         5         2         4         4         9         6         3         2
Vardas624      Pavarde624              1         7         7         6         2         2         8         4         7         1
Vardas625      Pavarde625              6        10         2         1         6         4         2         7         1         7
Vardas626      Pavarde626              3         9        10         1         2         3         8         6         8         3
Vardas627      Pavarde627              9         5         6         6        10         5         3         3         8         7
Vardas628      Pavarde628             10         9         6         8         3         6         1         1         5         7
Vardas629      Pavarde629              8         8         7         9         8         7         8         4         8         7
Vardas630      Pavarde630              6         6         4         1         6         4         6         9         6         3
Vardas631      Pavarde631              5         6         5        10         3        10         2         5         9        10
Vardas632      Pavarde632              1         8         8         1        10         6         8         4         4         3
Vardas633      Pavarde633              6         4        10        10         1         3         6         4         8         9
Vardas634      Pavarde634              7         3         1         1         6         4        10         1         3         9
Vardas635      Pavarde635              4         1         3         1         9         6         5         6         7         1
Vardas636      Pavarde636              1         2         2         2        10         6         5         9         1         1
Vardas637      Pavarde637             10         8        10        10         7        10         6         1         8        10
Vardas638      Pavarde638              3         3         2        10         5         6        10         5         9         7
Vardas639      Pavarde639              6         3         7         5         2         3         2         2         7         2
Vardas640      Pavarde640              8        10         8         1         4         1         9         2         5         9
Vardas641      Pavarde641              6        10         7         1         2         3         8         1         2         3
Vardas642      Pavarde642              8         4         7         7         4         3         1         6         6         3
Vardas643      Pavarde643              8         3         2         8         1         6         1         9         2         7
Vardas644      Pavarde644              9        10        10         2         6         6         9         7         3         6
Vardas645      Pavarde645              9         5         6        10         3         9         6         2         9         6
Vardas646      Pavarde646              8         5         1         5         9        10        10         4         5         1
Vardas647      Pavarde647              2         1         9        10         5         1         6         8         9         1
Vardas648      Pavarde648              5         1         2         4         8         6         3        10         7         8
Vardas649      Pavarde649              5         4         4         2         3         5        10         1         8         7
Vardas650      Pavarde650              4         4         3         7         6         6         8         3         4        10
Vardas651      Pavarde651              7         3         5         8         7         4         9         2         1         9
Vardas652      Pavarde652              3         2        10         7         4        10         7         8         3         1
Vardas653      Pavarde653              3         5         5         7         7        10         2         4         6         1
Vardas654      Pavarde654              9        10         5         3         2         1         4         3         4         9
Vardas655      Pavarde655              3         2         7         1         8         7         2         3         7         7
Vardas656      Pavarde656              8         2         8         1         4         8         8         5         8         3
Vardas657      Pavarde657              7         4         2         3         4         1         9         2         2         4
Vardas658      Pavarde658              8         2         4         7         2         3         2         1         7         9
Vardas659      Pavarde659              5         8         7        10         9         3         1         1         7         6
Vardas660      Pavarde660              9         2        10         1         3         4         4         2         9         4
Vardas661      Pavarde661             10         4         3         9         3         3         6        10         7         1
Vardas662      Pavarde662              3         3         2         9         8         1         6        10         9         6
Vardas663      Pavarde663              7         9         8         7         9         3         1         3         2         3
Vardas664      Pavarde664              9         4         4         1         6         4         7        10         5         1
Vardas665      Pavarde665             10         2         5         1         1         7         9         2         4         7
Vardas666      Pavarde666             10         9         2         2         3         5         1         3        10         8
Vardas667      Pavarde667              6         1         5         7         3         1        10         1         6        10
Vardas668      Pavarde668              5         2         9        10         4         2        10         6         7         2
Vardas669      Pavarde669              5         4         6         4         9         5         1         6         4         2
Vardas670      Pavarde670              2         5         8         2         4         7         4         9         7         6
Vardas671      Pavarde671              9         9         2         2        10         9         7         1         1         7
Vardas672      Pavarde672              1         7         4         6         3        10         4         7         7         8
Vardas673      Pavarde673              9         7         8        10         6         7         3         2         2         6
Vardas674      Pavarde674              5         3         9         5         6         5         7         1         3         7
Vardas675      Pavarde675              7         3         8         2         5         2        10         3         3         3
Vardas676      Pavarde676              1         5         6        10         7         6         6        10         4         8
Vardas677      Pavarde677              2         8        10         8         2         9         3         9         4         2
Vardas678      Pavarde678              9         7         5         2         5         7         9         4         2         6
Vardas679      Pavarde679              7         1        10         2         1         9         2         8         3         9
Vardas680      Pavarde680              1        10         5         7        10         3         9         7         4         3
Vardas681      Pavarde681              8         1         1         9         4         5         1         2         5         6
Vardas682      Pavarde682              7         8         9         3         9         6        10         1         1         4
Vardas683      Pavarde683              4        10         4         8         6         7         1         1         7         4
Vardas684      Pavarde684              5        10         6         2         6         7         4         2         6         3
Vardas685      Pavarde685              3        10         5         9         2         9         7         4         9         8
Vardas686      Pavarde686              4         9         1         8         8         2         9         1         3         1
Vardas687      Pavarde687              7         4         3         1         3         2         5         5         7         7
Vardas688      Pavarde688             10         9         7         4         1         7         7         1         4         6
Vardas689      Pavarde689              1         2         6         5         6         6         9         6         7         9
Vardas690      Pavarde690              3         4         7         5         8         5        10         7         7         2
Vardas691      Pavarde691              2         3         4         4        10         1         9         3         2         8
Vardas692      Pavarde692             10         7         8         7         8         2         7         8         3         4
Vardas693      Pavarde693              5         1         5         8         6         7         8         6         7         1
Vardas694      Pavarde694              8         5         8        10         3         4         9         7         4         2
Vardas695      Pavarde695              7        10         3         2         8         7         6         9         3         9
Vardas696      Pavarde696              3         3         3         5         2        10        10         4         8         5
Vardas697      Pavarde697              6         4         3         1        10         8         7         7         1         1
Vardas698      Pavarde698              2         5         6         4         6         9        10         9         7         7
Vardas699      Pavarde699             10         6         1        10         5         6         3         4         9         2
Vardas700      Pavarde700              9         3        10         6         4         1         3         2         9         1
Vardas701      Pavarde701              2         9         6         6         6         2         9         5         8         8
Vardas702      Pavarde702              7         3         8         3         8         3         6         9         2         9
Vardas703      Pavarde703              5         8        10         1         6         6         9         1         2         6
Vardas704      Pavarde704              5         5         7        10         6         6         1         8         8        10
Vardas705      Pavarde705              1         8         7         7         7         6         7         2         7         5
Vardas706      Pavarde706              9         9         4         3        10         2         3         6         7         8
Vardas707      Pavarde707              7         9         4        10         9         6         4        10         6        10
Vardas708      Pavarde708              7         4         6         1         8         3         4        10         8         3
Vardas709      Pavarde709              9         9         1         3        10         8         3         7         3         9
Vardas710      Pavarde710              9         1        10         2         2         9         8         4        10        10
Vardas711      Pavarde711              9        10         6         9         7         1         3        10         6         6
Vardas712      Pavarde712              3         5        10         5         2         5         3        10         6         5
Vardas713      Pavarde713              8        10         8         6         6         1         5         1         4         9
Vardas714      Pavarde714             10         2         4         3         6         5         8         2         3         1
Vardas715      Pavarde715             10         5         4         1         5         5         1         3         5         4
Vardas716      Pavarde716              2         8         7         3         9         6         8         4         3         3
Vardas717      Pavarde717              4         2         8         1         9         8         6         4         7         5
Vardas718      Pavarde718              5         3         7         1         3         2         5         6         5         4
Vardas719      Pavarde719              5         4         1         3         3         7         1         1         2         8
Vardas720      Pavarde720              4         8         4         9         4         1        10         6         7         2
Vardas721      Pavarde721              9         7         4         3         7         2         4        10         2         6
Vardas722      Pavarde722              1         7         6         4         6         5         3         1         3         1
Vardas723      Pavarde723              6         8         4         7         1         6         5         6         4         4
Vardas724      Pavarde724              9         9         9         2         3         8         6         4         6         7
Vardas725      Pavarde725              3         1         7         2        10         8        10         2         3         5
Vardas726      Pavarde726              8         2         3         1         1         6         4         3         6         8
Vardas727      Pavarde727              5         8         8         2         5         3         1         3         6         4
Vardas728      Pavarde728              1         5         2         4         8         5         6        10         6         1
Vardas729      Pavarde729              2         4         7         1         7         6         3         3         1         2
Vardas730      Pavarde730              7         9         2         7         8         6         9         9         5         5
Vardas731      Pavarde731              7         6         3         7         2         8         3         1         6         3
Vardas732      Pavarde732             10         9         2         7         4         7         6        10         8        10
Vardas733      Pavarde733              8        10         2         5         1         7         4         8         7         9
Vardas734      Pavarde734             10         7         5         3         4         7         4         8         9         6
Vardas735      Pavarde735              5         8         1        10         5         1         4         1         6         4
Vardas736      Pavarde736              2         7         1         8         7         5         3         3         4         9
Vardas737      Pavarde737              8         3         2         6         2         2         6        10         3         4
Vardas738      Pavarde738              7         3         9         5         4         8         4         2         3        10
Vardas739      Pavarde739              2         8         5         6         9         7         2         8         1         3
Vardas740      Pavarde740              1         2         8         6         1         8         7         2        10        10
Vardas741      Pavarde741              1        10         7         1         2         2         8         3         9         4
Vardas742      Pavarde742             10         7         9         3         8         4         1         9         1         1
Vardas743      Pavarde743              3         8         9         4         5         5         4         2         4         1
Vardas744      Pavarde744              6         7         7         1         8         2         5        10         7         6
Vardas745      Pavarde745              7        10        10         2         3         2         3        10         4         8
Vardas746      Pavarde746              6         7         8         6         1         8         1        10         2         9
Vardas747      Pavarde747              1         9         9         2         4         2         7        10         7         8
Vardas748      Pavarde748              7         2         5         2         2         7         8        10         8         7
Vardas749      Pavarde749              1         8         1         9         4         7         3         9         9        10
Vardas750      Pavarde750             10         3         4         1         7        10         5        10         9         2
Vardas751      Pavarde751              1         7         1         4         9         5         9         2         2         1
Vardas752      Pavarde752              4         1         8         9         9         1         3         3         4         1
Vardas753      Pavarde753              9         6         7         5         4         5         8         7         4         3
Vardas754      Pavarde754              7        10         9         7         2         1         2         2         8         3
Vardas755      Pavarde755              2         6         7         3         8         8         9         5         8         4
Vardas756      Pavarde756              9        10         5         5         2         8         6         4         7        10
Vardas757      Pavarde757              3         6         7         2         3         7         5         2         5         1
Vardas758      Pavarde758             10         1         5         1         5         4         3         3         3         2
Vardas759      Pavarde759              3         7         6         1         8        10         9         7         5         1
Vardas760      Pavarde760              4         1         2         5         2         1         2         9         1        10
Vardas761      Pavarde761              8         8         8         8         7         2         1        10         8         4
Vardas762      Pavarde762              1         5         6         7         6         6         6         8         4         9
Vardas763      Pavarde763              3         5         7         9         8         2         1         1         4         3
Vardas764      Pavarde764              1         4         5        10        10         4         8         9         6         7
Vardas765      Pavarde765              6         5        10         2         3         7         7         4         9        10
Vardas766      Pavarde766              6         9        10         2         8         7         8        10         5        10
Vardas767      Pavarde767              5         2         5         9         5         1         3         3        10         2
Vardas768      Pavarde768              9         8         4        10         2         6         8         7         8         8
Vardas769      Pavarde769              2         6         7         5        10         1         9         8         7         5
Vardas770      Pavarde770              8         9         7         3         4         1         7         1         9         9
Vardas771      Pavarde771              1         1         9         6         9         3         6         2         1         3
Vardas772      Pavarde772              5         4         7         8         8         9         5         4        10         6
Vardas773      Pavarde773              9         4         9         4         4         4         2         1         5         9
Vardas774      Pavarde774              6         7         7         5         1         8         4         3         1         3
Vardas775      Pavarde775              2         4        10         9         5         5        10         2         3         6
Vardas776      Pavarde776              2         5         5         7         2         3         7         4         9         2
Vardas777      Pavarde777              1        10         6         7         1         7         9         8         1         3
Vardas778      Pavarde778              1         8         7         6         5         8        10         3         8         6
Vardas779      Pavarde779             10         2         8         1         2         2         7         3         9         2
Vardas780      Pavarde780              2         7         6         6         9         2         5         3         8        10
Vardas781      Pavarde781              8         7        10         9         7         1         7         1         6        10
Vardas782      Pavarde782              7         5         9         5         5         7         4         7         1         4
Vardas783      Pavarde783              3         5         4         9         8         2         9         5         5         9
Vardas784      Pavarde784              7         5         3         5         4         9         9         7         4        10
Vardas785      Pavarde785              1         9         9         1         1         6         9         9         5         7
Vardas786      Pavarde786              4        10         8         5         3         1         3         2         7         4
Vardas787      Pavarde787              9         4         6         6         2         9         6         9         3         1
Vardas788      Pavarde788              8         1         4         6        10         1         8         2         1         1
Vardas789      Pavarde789              7         2         3         2         5         5         7         7         9        10
Vardas790      Pavarde790              7         4         3         4         8         7         5         4         1        10
Vardas791      Pavarde791              9         8        10         9         2         9         6         6         5        10
Vardas792      Pavarde792              6         7         3         4         6         1         1         6        10         2
Vardas793      Pavarde793             10         1         2         8         3        10         7         4         2         9
Vardas794      Pavarde794              3         5         3         5         8         7         5        10         1         7
Vardas795      Pavarde795              1         2         3        10         8        10        10         8         9         5
Vardas796      Pavarde796              7         8        10         3         3         2         7         7         6         6
Vardas797      Pavarde797              4         5         6         5         7         5         6         1         6         5
Vardas798      Pavarde798             10         2         7         8         2         4         7         7         9         6
Vardas799      Pavarde799              2         8         9         9         5        10         7        10         5         9
Vardas800      Pavarde800             10         9         3         9         7         5         1         8         8        10
Vardas801      Pavarde801              4         7         1         7         3         3         4         1         8         9
Vardas802      Pavarde802              5         9         9         3         7         1         9         7        10         3
Vardas803      Pavarde803             10        10         6         9         7         8         6         1         9         6
Vardas804      Pavarde804              1         4         4        10         3         6         1         8         3         2
Vardas805      Pavarde805             10         4         1         9        10         7         8        10         4         7
Vardas806      Pavarde806              5         5        10         4         9         5         5         8         6         2
Vardas807      Pavarde807              2         5         9         5         1         9         9         4         2         4
Vardas808      Pavarde808              6         2         8         7         8         6         4        10         8        10
Vardas809      Pavarde809              4        10         3         6         6         9         8         2         2         3
Vardas810      Pavarde810              7         2         4         1         1         2         3         8         2        10
Vardas811      Pavarde811              2         5         1         1        10         2         6         1         2         4
Vardas812      Pavarde812              3         6         2         8         1         2         9         6         6         5
Vardas813      Pavarde813              9         8         2         8         5         9         8         1         4         2
Vardas814      Pavarde814              6         1         5         1         8         8         6         5         8         2
Vardas815      Pavarde815             10         8         2        10         7         3         4         6         8         4
Vardas816      Pavarde816              7         4         6         3         2         6         5         7        10         7
Vardas817      Pavarde817              5         2         5         9         9         8         2         9         9        10
Vardas818      Pavarde818              5         7         5         3         9        10         3         9         4         5
Vardas819      Pavarde819              2         1         6         2         1         2         6         6         3         1
Vardas820      Pavarde820              7         5         6         5        10         3         8         5         2         8
Vardas821      Pavarde821              9         7         5         6         5        10         4        10         1         6
Vardas822      Pavarde822              5         9        10         1         4         5         5         4         2         7
Vardas823      Pavarde823              9         5         5         1         7        10         2         6         3         3
Vardas824      Pavarde824              1         1         5         2         8         5         1         5         6         8
Vardas825      Pavarde825              5         2         8         2        10         7         2         6         8         5
Vardas826      Pavarde826              1         6         8         2         7         7         6         9         9        10
Vardas827      Pavarde827              5         3         5         8         9         4         8         3        10         5
Vardas828      Pavarde828              4         3         2         4         2         6         4         9         4         6
Vardas829      Pavarde829              4         9         1         3         2         1         3         1         8         4
Vardas830      Pavarde830              7         9         3         9         5        10         9         6         6         3
Vardas831      Pavarde831              1         9         8         8         2         5         9         2         5         9
Vardas832      Pavarde832              9        10         9         3         1         4         9         4         6         9
Vardas833      Pavarde833              9         4         4         7         2         5         2         2         3         2
Vardas834      Pavarde834              4         4         1         4         9         5        10        10         5        10
Vardas835      Pavarde835              6         5         6         3         9        10         5         6         3         4
Vardas836      Pavarde836              3         8         2        10         7         8         6        10         1         2
Vardas837      Pavarde837             10         3         8        10         2         3         6         6         2         9
Vardas838      Pavarde838              4         5        10         7         9         7         1         1         2         1
Vardas839      Pavarde839              6         5         8         3         2        10         2         1         2         1
Vardas840      Pavarde840              5         4         7        10         8         5         1         5         2         8
Vardas841      Pavarde841              2         9         9         6        10         5         9         1        10         2
Vardas842      Pavarde842              9         7         8         2         8        10         1         1         8         2
Vardas843      Pavarde843              4         8         6        10         3         5        10        10         1         5
